Program started
Initialize MPU6050
 * Sleep Mode:            Disabled
 * Clock Source:          PLL with X axis gyroscope reference
 * Accelerometer:         +/- 2 g
 * Accelerometer offsets: -3540 / -3691 / 1478
 * Gyroscope:         2000 dps
 * Gyroscope offsets: 155 / 15 / 15
button pressed
Time, ACC_X-raw, ACC_Y-raw, ACC_Z-raw, ACC_X-norm, ACC_Y-norm, ACC_Z-norm, GYRO_X-raw, GYRO_Y-raw,GYRO_Z-raw, GYRO_X-norm, GYRO_Y-norm, GYRO_Z-norm, Ceramic_Piezo, Film_Piezo, Weighted_Film_Piezo, Vibration_Senso
8568,184.00,-564.00,16932.00,0.18,-0.34,10.07,66.00,17.00,28.00,-0.17,-0.11,-0.10,192,231,230 ,
9268,48.00,-564.00,16696.00,0.07,-0.30,10.05,66.00,17.00,33.00,0.01,0.13,0.20,193,222,227 ,
9968,232.00,-552.00,16808.00,0.12,-0.33,10.07,63.00,23.00,32.00,-0.11,0.25,-0.04,194,215,225 ,
10668,200.00,-508.00,16888.00,0.09,-0.29,10.15,63.00,17.00,28.00,-0.17,0.13,0.08,191,213,221 ,
button pressed
696,144.00,-584.00,16804.00,0.07,-0.29,10.08,63.00,17.00,33.00,-0.17,-0.05,0.20,188,225,213 ,
1085,136.00,-684.00,16968.00,-0.02,-0.45,10.48,60.00,18.00,29.00,4.22,2.45,1.48,183,344,251 ,6878
1333,192.00,-584.00,16784.00,0.06,-0.34,10.24,63.00,19.00,31.00,-0.11,-0.11,0.20,202,313,254 ,12113
2033,136.00,-596.00,16904.00,0.07,-0.35,10.06,68.00,21.00,33.00,0.14,0.07,0.14,191,380,273 ,
2698,136.00,-524.00,16920.00,0.04,-0.29,10.12,64.00,20.00,30.00,-0.11,-0.11,-0.04,191,333,261 ,4079
3397,144.00,-592.00,16892.00,0.07,-0.38,10.03,67.00,16.00,32.00,0.08,-0.05,0.08,0,0,167 ,
4098,160.00,-556.00,16864.00,0.08,-0.31,10.07,66.00,19.00,32.00,0.01,-0.11,0.20,0,218,87 ,
4189,148.00,-644.00,16796.00,0.17,-0.39,10.13,66.00,22.00,33.00,0.08,-0.23,0.08,0,202,95 ,257
4200,148.00,-584.00,16792.00,0.08,-0.33,10.04,63.00,24.00,32.00,-0.17,0.13,0.08,0,116,74 ,3
4260,228.00,-576.00,16888.00,0.07,-0.32,10.12,65.00,19.00,30.00,0.08,-0.11,0.14,0,63,59 ,2
4299,160.00,-584.00,16692.00,0.01,-0.33,9.98,63.00,19.00,29.00,-0.05,0.01,-0.10,0,32,53 ,5
4334,92.00,-640.00,16740.00,0.08,-0.35,10.09,66.00,23.00,30.00,0.01,0.19,0.14,0,111,80 ,1
4359,116.00,-500.00,16820.00,0.12,-0.31,10.03,66.00,19.00,30.00,0.01,0.01,-0.04,0,112,87 ,80
4389,68.00,-504.00,16740.00,0.07,-0.37,10.03,66.00,15.00,31.00,0.08,-0.23,-0.04,0,85,90 ,
4399,36.00,-584.00,16856.00,0.02,-0.35,10.08,68.00,18.00,31.00,0.08,0.38,0.14,0,56,86 ,
4416,244.00,-592.00,16836.00,0.10,-0.32,10.08,64.00,10.00,31.00,-0.17,-0.42,-0.04,5,17,74 ,
4542,144.00,-588.00,16904.00,0.06,-0.36,10.08,64.00,17.00,32.00,-0.05,-0.17,0.14,0,23,52 ,87
4566,180.00,-576.00,16932.00,0.08,-0.37,10.02,63.00,21.00,29.00,-0.11,0.01,-0.04,285,130,793 ,92
4999,156.00,-604.00,16860.00,0.09,-0.30,10.02,66.00,21.00,31.00,0.08,0.13,-0.10,277,154,797 ,33
5699,88.00,-524.00,16892.00,0.01,-0.31,10.06,67.00,19.00,31.00,0.08,0.01,0.14,248,308,837 ,
6400,216.00,-652.00,16808.00,0.05,-0.34,10.16,64.00,18.00,29.00,0.14,-0.11,-0.04,228,255,801 ,
7099,156.00,-620.00,16892.00,0.02,-0.35,10.08,64.00,16.00,32.00,-0.17,0.01,0.08,250,215,800 ,
7799,116.00,-528.00,16808.00,0.05,-0.35,10.06,65.00,20.00,31.00,-0.05,0.01,-0.04,252,251,804 ,
8499,156.00,-524.00,16780.00,0.10,-0.35,10.02,66.00,22.00,30.00,-0.05,0.07,-0.10,219,234,787 ,
9199,144.00,-560.00,16848.00,0.11,-0.33,10.05,67.00,20.00,31.00,-0.05,0.07,0.20,218,214,763 ,
9899,136.00,-656.00,16972.00,0.05,-0.34,10.17,64.00,18.00,35.00,0.08,0.07,0.20,217,265,758 ,
10599,176.00,-500.00,16768.00,0.11,-0.32,10.03,67.00,21.00,31.00,0.08,0.07,0.02,234,140,704 ,
button pressed
695,164.00,-564.00,16840.00,0.08,-0.32,10.06,64.00,18.00,32.00,-0.05,-0.11,-0.04,203,175,662 ,
1102,228.00,-520.00,16424.00,0.17,-0.27,9.88,66.00,16.00,30.00,-0.05,-0.17,-0.04,217,163,639 ,1528
1802,148.00,-596.00,16804.00,0.05,-0.35,10.05,68.00,21.00,31.00,0.08,0.13,-0.04,186,146,626 ,
2502,224.00,-640.00,16872.00,0.12,-0.32,10.08,67.00,18.00,32.00,0.14,0.01,0.02,198,141,600 ,
3202,164.00,-740.00,16844.00,0.14,-0.42,10.00,67.00,18.00,33.00,-0.11,-0.05,0.14,167,141,572 ,
3902,144.00,-624.00,16932.00,0.09,-0.35,10.04,68.00,19.00,31.00,0.08,0.01,0.20,166,137,561 ,
4601,252.00,-672.00,16956.00,0.05,-0.39,10.14,63.00,18.00,32.00,-0.23,-0.05,-0.04,178,138,543 ,
